"DR2ICRYP.Code.or.Value","DR2ICRYP.Value.Description","DR2ICRYP.Count","DR2ICRYP.Cumulative","DR2ICRYP.Skip.to.Item"
"0 to 5209","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
