"URDUACLC.Code.or.Value","URDUACLC.Value.Description","URDUACLC.Count","URDUACLC.Cumulative","URDUACLC.Skip.to.Item"
"0","At or above the detection limit",41,41,NA
"1","Below lower detection limit",2532,2573,NA
".","Missing",100,2673,NA
