"DRD370E.Code.or.Value","DRD370E.Value.Description","DRD370E.Count","DRD370E.Cumulative","DRD370E.Skip.to.Item"
"1","Yes",367,367,""
"2","No",4713,5080,"DRD370F"
".","Missing",4202,9282,""
