"DXXTATM.Code.or.Value","DXXTATM.Value.Description","DXXTATM.Count","DXXTATM.Cumulative","DXXTATM.Skip.to.Item"
"211.83 to 5893.09","Range of Values",4696,4696,NA
".","Missing",996,5692,NA
