"RFXT087.Code.or.Value","RFXT087.Value.Description","RFXT087.Count","RFXT087.Cumulative","RFXT087.Skip.to.Item"
"752 to 761","Range of Values",33694,33694,NA
".","Missing",27,33721,NA
