"BAXFTC32.Code.or.Value","BAXFTC32.Value.Description","BAXFTC32.Count","BAXFTC32.Cumulative","BAXFTC32.Skip.to.Item"
"0 to 27","Range of Values",4,4,NA
".","Missing",1007,1011,NA
