"RXDCOUNT.Code.or.Value","RXDCOUNT.Value.Description","RXDCOUNT.Count","RXDCOUNT.Cumulative","RXDCOUNT.Skip.to.Item"
"1 to 22","Range of Values",14434,14434,NA
".","Missing",5209,19643,NA
