"TYXP139.Code.or.Value","TYXP139.Value.Description","TYXP139.Count","TYXP139.Cumulative","TYXP139.Skip.to.Item"
"-297 to 105","Range of Values",4315,4315,NA
".","Missing",1270,5585,NA
