"DS2TPFAT.Code.or.Value","DS2TPFAT.Value.Description","DS2TPFAT.Count","DS2TPFAT.Cumulative","DS2TPFAT.Skip.to.Item"
"0.1 to 20","Range of Values",261,261,NA
".","Missing",9992,10253,NA
