"DSQ128S.Code.or.Value","DSQ128S.Value.Description","DSQ128S.Count","DSQ128S.Cumulative","DSQ128S.Skip.to.Item"
"91","OTHER SPECIFY",72,72,NA
".","Missing",9487,9559,NA
