"WTSPO21.Code.or.Value","WTSPO21.Value.Description","WTSPO21.Count","WTSPO21.Cumulative","WTSPO21.Skip.to.Item"
"0.0000000 to 835329.8509300","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
