"RFXC135.Code.or.Value","RFXC135.Value.Description","RFXC135.Count","RFXC135.Cumulative","RFXC135.Skip.to.Item"
"-7.661 to 6.621","Range of Values",51056,51056,NA
".","Missing",20,51076,NA
