"DSQTPROT.Code.or.Value","DSQTPROT.Value.Description","DSQTPROT.Count","DSQTPROT.Cumulative","DSQTPROT.Skip.to.Item"
"0 to 56","Range of Values",204,204,NA
".","Missing",10333,10537,NA
