"BMAUPREL.Code.or.Value","BMAUPREL.Value.Description","BMAUPREL.Count","BMAUPREL.Cumulative","BMAUPREL.Skip.to.Item"
"1","Above elbow",0,0,NA
"2","Below elbow",0,0,NA
".","Missing",9282,9282,NA
