"DXDRATOT.Code.or.Value","DXDRATOT.Value.Description","DXDRATOT.Count","DXDRATOT.Cumulative","DXDRATOT.Skip.to.Item"
"1035.6 to 10706.8","Range of Values",3981,3981,NA
".","Missing",1133,5114,NA
