"RIDAGEMN.Code.or.Value","RIDAGEMN.Value.Description","RIDAGEMN.Count","RIDAGEMN.Cumulative","RIDAGEMN.Skip.to.Item"
"0 to 1019","Range of Values",9792,9792,NA
".","Missing",173,9965,NA
