"WTSAU43.Code.or.Value","WTSAU43.Value.Description","WTSAU43.Count","WTSAU43.Cumulative","WTSAU43.Skip.to.Item"
"0 to 482434.55021","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
