"LBDSIRSI.Code.or.Value","LBDSIRSI.Value.Description","LBDSIRSI.Count","LBDSIRSI.Cumulative","LBDSIRSI.Skip.to.Item"
"0.4 to 51.2","Range of Values",6253,6253,NA
".","Missing",491,6744,NA
