"BIXC035K.Code.or.Value","BIXC035K.Value.Description","BIXC035K.Count","BIXC035K.Cumulative","BIXC035K.Skip.to.Item"
"23.55 to 119.92","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
