"MCQ240L.Code.or.Value","MCQ240L.Value.Description","MCQ240L.Count","MCQ240L.Cumulative","MCQ240L.Skip.to.Item"
"4 to 64","Range of Values",8,8,NA
"80","80 years or older",0,8,NA
"77777","Refused",0,8,NA
"99999","Don't know",0,8,NA
".","Missing",10101,10109,NA
