"DR1DAY.Code.or.Value","DR1DAY.Value.Description","DR1DAY.Count","DR1DAY.Cumulative","DR1DAY.Skip.to.Item"
"1","Sunday",841,841,NA
"2","Monday",444,1285,NA
"3","Tuesday",707,1992,NA
"4","Wednesday",570,2562,NA
"5","Thursday",657,3219,NA
"6","Friday",1170,4389,NA
"7","Saturday",981,5370,NA
".","Missing",0,5370,NA
