"VTQ281C.Code.or.Value","VTQ281C.Value.Description","VTQ281C.Count","VTQ281C.Cumulative","VTQ281C.Skip.to.Item"
"1","Yes",95,95,""
"2","No",2998,3093,"VTQ281E"
"7","Refused",0,3093,"VTQ281E"
"9","Don't know",6,3099,"VTQ281E"
".","Missing",390,3489,""
