"URDOP4LC.Code.or.Value","URDOP4LC.Value.Description","URDOP4LC.Count","URDOP4LC.Cumulative","URDOP4LC.Skip.to.Item"
"0","At or above the detection limit",1104,1104,NA
"1","Below lower detection limit",1486,2590,NA
".","Missing",104,2694,NA
