"OCQ290Q.Code.or.Value","OCQ290Q.Value.Description","OCQ290Q.Count","OCQ290Q.Cumulative","OCQ290Q.Skip.to.Item"
"0 to 16","Range of Values",658,658,NA
"7777","Refused",0,658,NA
"9999","Don't know",2,660,NA
".","Missing",5553,6213,NA
