"DS2TCARB.Code.or.Value","DS2TCARB.Value.Description","DS2TCARB.Count","DS2TCARB.Cumulative","DS2TCARB.Skip.to.Item"
"0.002 to 63","Range of Values",845,845,NA
".","Missing",7859,8704,NA
