"MGXH2T1.Code.or.Value","MGXH2T1.Value.Description","MGXH2T1.Count","MGXH2T1.Cumulative","MGXH2T1.Skip.to.Item"
"4 to 79.5","Range of Values",7682,7682,NA
".","Missing",609,8291,NA
