"PAD675.Code.or.Value","PAD675.Value.Description","PAD675.Count","PAD675.Cumulative","PAD675.Skip.to.Item"
"10 to 600","Range of Values",2940,2940,NA
"7777","Refused",0,2940,NA
"9999","Don't know",6,2946,NA
".","Missing",6309,9255,NA
