"TYXA100.Code.or.Value","TYXA100.Value.Description","TYXA100.Count","TYXA100.Cumulative","TYXA100.Skip.to.Item"
"0.09 to 7.632","Range of Values",8463,8463,NA
".","Missing",6,8469,NA
