"DRDINT.Code.or.Value","DRDINT.Value.Description","DRDINT.Count","DRDINT.Cumulative","DRDINT.Skip.to.Item"
"1","Day 1 only",1479,1479,NA
"2","Day 1 and day 2",7027,8506,NA
".","Missing",1038,9544,NA
