"SMD450.Code.or.Value","SMD450.Value.Description","SMD450.Count","SMD450.Cumulative","SMD450.Skip.to.Item"
"1 to 2","Range of Values",63,63,NA
"3","3 or More",31,94,NA
".","Missing",10028,10122,NA
