"WTSPP51.Code.or.Value","WTSPP51.Value.Description","WTSPP51.Count","WTSPP51.Cumulative","WTSPP51.Skip.to.Item"
"0 to 828166.03094","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
