"WTSA2YR.Code.or.Value","WTSA2YR.Value.Description","WTSA2YR.Count","WTSA2YR.Cumulative","WTSA2YR.Skip.to.Item"
"0 to 476882.95898","Range of Values",2941,2941,NA
".","Missing",0,2941,NA
