"LBDHDD.Code.or.Value","LBDHDD.Value.Description","LBDHDD.Count","LBDHDD.Cumulative","LBDHDD.Skip.to.Item"
"15 to 188","Range of Values",7360,7360,NA
".","Missing",726,8086,NA
