"LEAANKL.Code.or.Value","LEAANKL.Value.Description","LEAANKL.Count","LEAANKL.Cumulative","LEAANKL.Skip.to.Item"
"1","Right",10,10,NA
"2","Left",12,22,NA
"3","Both",2629,2651,NA
"8","Could not obtain",2,2653,NA
".","Missing",222,2875,NA
