"LBD172LC.Code.or.Value","LBD172LC.Value.Description","LBD172LC.Count","LBD172LC.Cumulative","LBD172LC.Skip.to.Item"
"0","At or above the detection limit",1218,1218,NA
"1","Below lower detection limit",660,1878,NA
".","Missing",407,2285,NA
