"WTANA2YR.Code.or.Value","WTANA2YR.Value.Description","WTANA2YR.Count","WTANA2YR.Cumulative","WTANA2YR.Skip.to.Item"
"7338.411511 to 277578.52259","Range of Values",4265,4265,NA
"0","No Lab Result",0,4265,NA
".","Missing",0,4265,NA
