"DS2TVB1.Code.or.Value","DS2TVB1.Value.Description","DS2TVB1.Count","DS2TVB1.Cumulative","DS2TVB1.Skip.to.Item"
"0.02 to 251.5","Range of Values",1046,1046,NA
".","Missing",7658,8704,NA
