"TYXA121.Code.or.Value","TYXA121.Value.Description","TYXA121.Count","TYXA121.Cumulative","TYXA121.Skip.to.Item"
"0.09 to 6.496","Range of Values",5245,5245,NA
".","Missing",340,5585,NA
