"URDMHBLC.Code.or.Value","URDMHBLC.Value.Description","URDMHBLC.Count","URDMHBLC.Cumulative","URDMHBLC.Skip.to.Item"
"0","At or above detection limit",2327,2327,NA
"1","Below lower detection limit",648,2975,NA
".","Missing",230,3205,NA
