"OHD20LAS.Code.or.Value","OHD20LAS.Value.Description","OHD20LAS.Count","OHD20LAS.Cumulative","OHD20LAS.Skip.to.Item"
"0 to 15","Range of Values",2426,2426,NA
"99","Calculation cannot be determined",351,2777,NA
".","Missing",4353,7130,NA
