"URD34MLC.Code.or.Value","URD34MLC.Value.Description","URD34MLC.Count","URD34MLC.Cumulative","URD34MLC.Skip.to.Item"
"0","At or above the detection limit",2238,2238,NA
"1","Below lower detection limit",2,2240,NA
".","Missing",109,2349,NA
