"DUQ280.Code.or.Value","DUQ280.Value.Description","DUQ280.Count","DUQ280.Cumulative","DUQ280.Skip.to.Item"
"1 to 30","Range of Values",71,71,NA
"77","Refused",0,71,NA
"99","Don't know",1,72,NA
".","Missing",4553,4625,NA
