"URXUAS3.Code.or.Value","URXUAS3.Value.Description","URXUAS3.Count","URXUAS3.Cumulative","URXUAS3.Skip.to.Item"
"0.08 to 8.77","Range of Values",2388,2388,NA
".","Missing",74,2462,NA
