"DXXCRUDE.Code.or.Value","DXXCRUDE.Value.Description","DXXCRUDE.Count","DXXCRUDE.Cumulative","DXXCRUDE.Skip.to.Item"
"-0.467 to 0.349","Range of Values",3274,3274,NA
".","Missing",434,3708,NA
