"WHQ090.Code.or.Value","WHQ090.Value.Description","WHQ090.Count","WHQ090.Cumulative","WHQ090.Skip.to.Item"
"1","Yes",541,541,""
"2","No",3378,3919,"WHQ210"
"7","Refused",1,3920,"WHQ210"
"9","Don't know",1,3921,"WHQ210"
".","Missing",2625,6546,""
