"DRD370H.Code.or.Value","DRD370H.Value.Description","DRD370H.Count","DRD370H.Cumulative","DRD370H.Skip.to.Item"
"1","Yes",113,113,""
"2","No",4225,4338,"DRD370I"
".","Missing",4366,8704,""
