"AUXR8KR.Code.or.Value","AUXR8KR.Value.Description","AUXR8KR.Count","AUXR8KR.Cumulative","AUXR8KR.Skip.to.Item"
"0 to 95","Range of Values",11,11,NA
"666","No response",1,12,NA
"888","Could not obtain",0,12,NA
".","Missing",3022,3034,NA
