"DXXPT39Y.Code.or.Value","DXXPT39Y.Value.Description","DXXPT39Y.Count","DXXPT39Y.Cumulative","DXXPT39Y.Skip.to.Item"
"108.2 to 335.7","Range of Values",3292,3292,NA
".","Missing",416,3708,NA
