"URDHEMLC.Code.or.Value","URDHEMLC.Value.Description","URDHEMLC.Count","URDHEMLC.Cumulative","URDHEMLC.Skip.to.Item"
"0","At or above the detection limit",1339,1339,NA
"1","Below lower detection limit",1017,2356,NA
".","Missing",106,2462,NA
