"AUXR4KR.Code.or.Value","AUXR4KR.Value.Description","AUXR4KR.Count","AUXR4KR.Cumulative","AUXR4KR.Skip.to.Item"
"30 to 105","Range of Values",22,22,NA
"666","No response",0,22,NA
"888","Could not obtain",0,22,NA
".","Missing",4560,4582,NA
