"DXXWDGDE.Code.or.Value","DXXWDGDE.Value.Description","DXXWDGDE.Count","DXXWDGDE.Cumulative","DXXWDGDE.Skip.to.Item"
"-0.098 to 0.729","Range of Values",3276,3276,NA
".","Missing",432,3708,NA
