"DS2IKCAL.Code.or.Value","DS2IKCAL.Value.Description","DS2IKCAL.Count","DS2IKCAL.Cumulative","DS2IKCAL.Skip.to.Item"
"1 to 520","Range of Values",1266,1266,NA
".","Missing",4260,5526,NA
