"URXMNM.Code.or.Value","URXMNM.Value.Description","URXMNM.Count","URXMNM.Cumulative","URXMNM.Skip.to.Item"
"0.78 to 901.5","Range of Values",2548,2548,NA
".","Missing",90,2638,NA
