"AUDTYR78.Code.or.Value","AUDTYR78.Value.Description","AUDTYR78.Count","AUDTYR78.Cumulative","AUDTYR78.Skip.to.Item"
"0 to 0.34","Range of Values",1140,1140,NA
".","Missing",70,1210,NA
