"RHQ576Q.Code.or.Value","RHQ576Q.Value.Description","RHQ576Q.Count","RHQ576Q.Cumulative","RHQ576Q.Skip.to.Item"
"1 to 17","Range of Values",54,54,NA
"77","Refused",0,54,NA
"99","Don't know",1,55,NA
".","Missing",3231,3286,NA
