"LBXVBZN.Code.or.Value","LBXVBZN.Value.Description","LBXVBZN.Count","LBXVBZN.Cumulative","LBXVBZN.Skip.to.Item"
"0.106 to 1.92","Range of Values",3028,3028,NA
".","Missing",366,3394,NA
