"OHQ835.Code.or.Value","OHQ835.Value.Description","OHQ835.Count","OHQ835.Cumulative","OHQ835.Skip.to.Item"
"1","Yes",904,904,NA
"2","No",3751,4655,NA
"7","Refused",0,4655,NA
"9","Don't know",88,4743,NA
".","Missing",4832,9575,NA
