"AUXLR153.Code.or.Value","AUXLR153.Value.Description","AUXLR153.Count","AUXLR153.Cumulative","AUXLR153.Skip.to.Item"
"-18 to 128","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
