"SSXHE1.Code.or.Value","SSXHE1.Value.Description","SSXHE1.Count","SSXHE1.Cumulative","SSXHE1.Skip.to.Item"
"1","positive",516,516,NA
"2","negative",694,1210,NA
"3","indeterminate",1,1211,NA
".","Missing",0,1211,NA
