"DXXRLBMD.Code.or.Value","DXXRLBMD.Value.Description","DXXRLBMD.Count","DXXRLBMD.Cumulative","DXXRLBMD.Skip.to.Item"
"0.474 to 1.811","Range of Values",4861,4861,NA
".","Missing",919,5780,NA
