"AUDTYL59.Code.or.Value","AUDTYL59.Value.Description","AUDTYL59.Count","AUDTYL59.Cumulative","AUDTYL59.Skip.to.Item"
"0 to 2.94","Range of Values",2154,2154,NA
".","Missing",214,2368,NA
