"WBXA061.Code.or.Value","WBXA061.Value.Description","WBXA061.Count","WBXA061.Cumulative","WBXA061.Skip.to.Item"
"-4.1606 to 0.9996","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
