"LBDTHGLC.Code.or.Value","LBDTHGLC.Value.Description","LBDTHGLC.Count","LBDTHGLC.Cumulative","LBDTHGLC.Skip.to.Item"
"0","At or above the detection limit",5529,5529,NA
"1","Below lower detection limit",1984,7513,NA
".","Missing",853,8366,NA
