"LBDBPBSI.Code.or.Value","LBDBPBSI.Value.Description","LBDBPBSI.Count","LBDBPBSI.Cumulative","LBDBPBSI.Skip.to.Item"
"0 to 2.05","Range of Values",6884,6884,NA
".","Missing",1482,8366,NA
